Model,Micro-Architecture / Process,Launch,Cuda Cores,Base Clock (MHz),Max Boost Clock (MHz),Bus Type,Bus Width (bits),Size (GB),Clock (MT/s),Bandwidth (GB/s),Half Precision (GFLOPS),Single Precision (GFLOPS),Double Precision (GFLOPS),TDP (Watts), Price ,Unnamed: 16, Scaled Performance HP , Scaled Performance SP , Scaled Performance DP ,P/P HP (GFLOPS/$),P/P SP (GFLOPS/$),P/P DP (GFLOPS/$),Scaled P/P HP (%),Scaled P/P SP (%),Scaled P/P DP (%),VRAM/$ (GB/$),Scaled VRAM/$ (%),Bandwidth/$ (GB/s/$),Scaled Bandwidth/$ (%),Composite Score,Unnamed: 31,NVLink Support,Bus Interface,L2 Cache (MB),Notes,Profile,Slots,Tensor Cores,Tensor Core Gen,End of Life,EOL Date
Tesla H100,Hopper,3/22/2022,"14,592","1,065","1,688",HBM2e,"5,120",80,"1,000","2,039","756,449","51,200","25,600.00",350," $ 40,745.00 ",,100.00%,56.23%,100.00%,18.57,1.26,0.63,11.08%,0.60%,1.01%,0.002,0.44%,0.05,0.34%,0.50%,,2-way NVLink,PCIe 5.0 x16,,PCIe card (dual-slot),,,640,4th Gen (Hopper)
GeForce RTX 4080,TSMC 4N,11/16/2022,"9,728","2,210","2,505",GDDR6X,256,16,"22,400",717,"43,000","43,000",672.00,320," $ 1,020.99 ",,5.68%,47.22%,2.63%,42.12,42.12,0.66,25.14%,20.20%,1.06%,0.016,3.52%,0.702,4.82%,12.18%,,No,PCIe 4.0 x16,64.0,,,,304,4th Gen (Ada)
RTX 4500 Ada Generation,Ada Lovelace,8/9/2023,"7,680","2,070","2,580",GDDR6,192,24,"18,000",432,"39,630","39,630",619.00,210," $ 4,624.08 ",,5.24%,43.52%,2.42%,8.57,8.57,0.13,5.12%,4.11%,0.22%,0.005,1.17%,0.093,0.64%,2.51%,,No,PCIe 4.0 x16,,4x DisplayPort,FHFL,Double,240,4th Gen (Ada)
Tesla A100 (80 GB),Ampere,5/14/2020,"6,912",765,"1,410",HBM2,"5,120",80,"1,215","1,555","312,000","19,500","9,700.00",250," $ 15,800.00 ",,41.25%,21.41%,37.89%,19.75,1.23,0.61,11.79%,0.59%,0.99%,0.005,1.14%,0.098,0.68%,0.75%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,432,3rd Gen (Ampere)
Tesla A16,Ampere,4/12/2021,"5,120",885,"1,695",GDDR6,512,64,"7,242",800,"73,728","18,432","1,084.80",250," $ 2,799.00 ",,9.75%,20.24%,4.24%,26.34,6.59,0.39,15.73%,3.16%,0.63%,0.023,5.14%,0.286,1.96%,3.35%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,320,3rd Gen (Ampere)
RTX A6000,Ampere,10/5/2020,"10,752","1,410","1,800",GDDR6,384,48,"16,000",768,"38,710","38,710","1,209.67",300," $ 3,599.00 ",,5.12%,42.51%,4.73%,10.76,10.76,0.34,6.42%,5.16%,0.54%,0.013,3.00%,0.213,1.46%,3.69%,,2-way NVLink,PCIe 4.0 x16,,4x DisplayPort,,,336,3rd Gen (Ampere)
GeForce RTX 3090 Ti,Samsung 8LPP,3/29/2022,"10,752","1,560","1,860",GDDR6X,384,24,"21,000","1,008","33,500","33,500",524.00,450," $ 1,199.00 ",,4.43%,36.79%,2.05%,27.94,27.94,0.44,16.68%,13.40%,0.70%,0.02,4.50%,0.841,5.77%,9.27%,,2-way NVLink,PCIe 4.0 x16,6.0,,,,336,3rd Gen (Ampere)
Tesla A40,Ampere,10/5/2020,"10,752","1,305","1,740",GDDR6,384,48,"7,248",696,"149,680","37,420","1,168.00",300," $ 5,183.71 ",,19.79%,41.09%,4.56%,28.88,7.22,0.23,17.24%,3.46%,0.36%,0.009,2.08%,0.134,0.92%,2.48%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,336,3rd Gen (Ampere)
Tesla L4,Ada Lovelace,3/21/2023,"7,424",795,"2,040",GDDR6,192,24,"1,563",300,"121,000","30,300",490.00,72," $ 3,736.67 ",,16.00%,33.27%,1.91%,32.38,8.11,0.13,19.33%,3.89%,0.21%,0.006,1.44%,0.08,0.55%,2.44%,,No,PCIe 4.0 x16,,HHHL single slot PCIe card,,,232,4th Gen (Ada)
GeForce RTX 3090,Samsung 8LPP,9/24/2020,"10,496","1,395","1,695",GDDR6X,384,24,"19,500",936,"29,380","29,280",459.00,350, $ 829.00 ,,3.88%,32.15%,1.79%,35.44,35.32,0.55,21.16%,16.94%,0.89%,0.029,6.50%,1.129,7.74%,12.03%,,2-way NVLink,PCIe 4.0 x16,6.0,,,,328,3rd Gen (Ampere)
Tesla A100 (40 GB),Ampere,5/14/2020,"6,912",765,"1,410",HBM2,"5,120",40,"1,215","1,555","312,000","19,500","9,700.00",250," $ 5,400.00 ",,41.25%,21.41%,37.89%,57.78,3.61,1.8,34.49%,1.73%,2.90%,0.007,1.66%,0.288,1.98%,1.78%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,432,3rd Gen (Ampere)
RTX 4000 Ada Generation,Ada Lovelace,8/9/2023,"6,144","1,500","2,175",GDDR6,160,20,"14,000",360,"26,730","26,730",417.00,130," $ 1,878.95 ",,3.53%,29.35%,1.63%,14.23,14.23,0.22,8.49%,6.82%,0.36%,0.011,2.39%,0.192,1.31%,4.34%,,No,PCIe 4.0 x16,,4x DisplayPort,FHFL,Single,192,4th Gen (Ada)
RTX A5500 ,Ampere,3/22/2022,"10,240","1,080","1,665",GDDR6,384,24,"16,000",768,"34,101","34,101","1,065.66",230," $ 2,939.99 ",,4.51%,37.45%,4.16%,11.6,11.6,0.36,6.92%,5.56%,0.58%,0.008,1.83%,0.261,1.79%,3.69%,,2-way NVLink,PCIe 4.0 x16,,4x DisplayPort,,,320,3rd Gen (Ampere)
GeForce RTX 4060 Ti (16 GB),TSMC 4N,7/18/2023,"4,352","2,310","2,540",GDDR6,128,16,"18,000",288,"20,100","20,100",314.00,160, $ 495.38 ,,2.66%,22.07%,1.23%,40.57,40.57,0.63,24.22%,19.46%,1.02%,0.032,7.26%,0.581,3.99%,12.54%,,No,PCIe 4.0 x8,32.0,,,,136,4th Gen (Ada)
Tesla A10,Ampere,4/12/2021,"9,216",885,"1,695",GDDR6,384,24,"6,252",600,"124,960","31,240",976.00,150," $ 3,688.00 ",,16.52%,34.31%,3.81%,33.88,8.47,0.26,20.23%,4.06%,0.43%,0.007,1.46%,0.163,1.12%,2.68%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (single-slot),,,288,3rd Gen (Ampere)
RTX A5000,Ampere,4/12/2021,"8,192","1,170","1,695",GDDR6,384,24,"16,000",768,"27,773","27,773",867.89,230," $ 1,599.00 ",,3.67%,30.50%,3.39%,17.37,17.37,0.54,10.37%,8.33%,0.88%,0.015,3.37%,0.48,3.29%,5.83%,,2-way NVLink,PCIe 4.0 x16,,4x DisplayPort,,,256,3rd Gen (Ampere)
RTX 4000 SFF Ada Generation,Ada Lovelace,3/21/2023,"6,144",720,"1,560",GDDR6,160,20,"14,000",280,"19,230","19,230",300.00,70," $ 1,761.95 ",,2.54%,21.12%,1.17%,10.91,10.91,0.17,6.52%,5.23%,0.27%,0.011,2.55%,0.159,1.09%,3.53%,,No,PCIe 4.0 x16,,4x mini DisplayPort,HHHL,Double,192,4th Gen (Ada)
Tesla A30,Ampere,4/12/2021,"3,584",930,"1,440",HBM2,"3,072",24,"1,215",933,"165,120","10,320","5,161.00",165," $ 4,980.00 ",,21.83%,11.33%,20.16%,33.16,2.07,1.04,19.80%,0.99%,1.67%,0.005,1.08%,0.187,1.29%,1.09%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,224,3rd Gen (Ampere)
RTX A4500 ,Ampere,11/23/2021,"7,168","1,050","1,650",GDDR6,320,20,"16,000",640,"23,656","23,656",739.24,200, $ 930.00 ,,3.13%,25.98%,2.89%,25.44,25.44,0.79,15.19%,12.20%,1.28%,0.022,4.83%,0.688,4.72%,8.49%,,2-way NVLink,PCIe 4.0 x16,,4x DisplayPort,,,224,3rd Gen (Ampere)
Tesla V100 (32 GB),Volta,6/21/2017,"5,120","1,382","1,370",HBM2,"4,096",32,"1,750",900,"112,224","14,028","7,014.00",250," $ 2,699.00 ",,14.84%,15.41%,27.40%,41.58,5.2,2.6,24.82%,2.49%,4.19%,0.012,2.66%,0.333,2.29%,2.48%,,2-way NVLink,PCIe 3.0 x16,,PCIe card,,,640,1st Gen (Volta)
Tesla V100 (16 GB),Volta,6/21/2017,"5,120","1,382","1,370",HBM2,"4,096",16,"1,750",900,"112,224","14,028","7,014.00",250, $ 670.00 ,,14.84%,15.41%,27.40%,167.5,20.94,10.47,100.00%,10.04%,16.88%,0.024,5.37%,1.343,9.21%,8.67%,,2-way NVLink,PCIe 3.0 x16,,PCIe card,,,640,1st Gen (Volta)
Nvidia TITAN RTX,TSMC 12FFN,12/18/2018,"4,608","1,350","1,770",GDDR6,384,24,"14,000",672,"24,883","12,442",388.80,280," $ 1,074.99 ",,3.29%,13.66%,1.52%,23.15,11.57,0.36,13.82%,5.55%,0.58%,0.022,5.02%,0.625,4.29%,5.10%,,2-way NVLink,PCIe 3.0 x16,6.0,,,,576,2nd Gen (Turing)
RTX A4000 ,Ampere,4/12/2021,"6,144",735,"1,560",GDDR6,256,16,"14,000",448,"19,170","19,170",599.00,140, $ 834.99 ,,2.53%,21.05%,2.34%,22.96,22.96,0.72,13.71%,11.01%,1.16%,0.019,4.31%,0.537,3.68%,7.50%,,2-way NVLink,PCIe 4.0 x16,,4x DisplayPort,,,192,3rd Gen (Ampere)
Tesla P40,Pascal,9/13/2016,"3,840","1,303","1,531",GDDR5,384,24,"7,200",346,0,"10,007",312.70,250, $ 174.99 ,,0.00%,10.99%,1.22%,0.0,57.19,1.79,0.00%,27.42%,2.88%,0.137,30.81%,1.975,13.55%,24.80%,,2-way NVLink,PCIe 3.0 x16,,PCIe card,,,0,No Tensor Cores
Tesla T4,Turing,9/12/2018,"2,560",585,"1,590",GDDR6,256,16,"5,000",320,"64,800","8,100",190.00,70, $ 750.00 ,,8.57%,8.90%,0.74%,86.4,10.8,0.25,51.58%,5.18%,0.41%,0.021,4.79%,0.427,2.93%,4.52%,,No,PCIe 3.0 x16,,PCIe card,,,320,2nd Gen (Turing)
Tesla P100 (16 GB),Pascal,6/20/2016,"3,584","1,126","1,303",HBM2,"4,096",16,"1,430",732,0,"8,071","4,036.00",250, $ 140.00 ,,0.00%,8.86%,15.77%,0.0,57.65,28.83,0.00%,27.65%,46.49%,0.114,25.68%,5.229,35.86%,29.21%,,2-way NVLink,PCIe 3.0 x16,,PCIe card,,,0,No Tensor Cores
Tesla M60,Maxwell,8/30/2015,"4,096",899,"1,178",GDDR5,512,16,"5,000",320,0,"7,365",230.10,300, $ 109.95 ,,0.00%,8.09%,0.90%,0.0,66.98,2.09,0.00%,32.12%,3.38%,0.146,32.69%,2.91,19.96%,29.23%,,No,PCIe 3.0 x16,,"Internal PCIe GPU (full-height, dual-slot)",,,0,No Tensor Cores
Tesla M40 (24 GB),Maxwell,11/10/2015,"3,072",948,"1,114",GDDR5,384,24,"6,000",288,0,"5,825",213.90,250, $ 99.00 ,,0.00%,6.40%,0.84%,0.0,58.84,2.16,0.00%,28.22%,3.48%,0.242,54.46%,2.909,19.95%,32.71%,,No,PCIe 3.0 x16,,"Internal PCIe GPU (full-height, dual-slot)",,,0,No Tensor Cores
Tesla K80,Kepler,11/17/2014,"4,992",560,875,GDDR5,768,24,"5,000",480,0,"5,591","1,864.00",300, $ 53.92 ,,0.00%,6.14%,7.28%,0.0,103.69,34.57,0.00%,49.73%,55.75%,0.445,100.00%,8.902,61.06%,65.13%,,No,PCIe 3.0 x16,,"Internal PCIe GPU (full-height, dual-slot)",,,0,No Tensor Cores
Tesla M10,Maxwell,5/18/2016,"2,560","1,033",0,GDDR5,512,32,"5,188",332,0,"5,289",165.30,225, $ 119.00 ,,0.00%,5.81%,0.65%,0.0,44.45,1.39,0.00%,21.31%,2.24%,0.269,60.41%,2.79,19.14%,30.55%,,No,PCIe 3.0 x16,,"Internal PCIe GPU (full-height, dual-slot)",,,0,No Tensor Cores
Tesla A2,Ampere,11/10/2021,"1,280","1,440","1,770",GDDR6,128,16,"6,252",200,"18,124","4,531",140.00,60, $ 918.99 ,,2.40%,4.98%,0.55%,19.72,4.93,0.15,11.77%,2.36%,0.25%,0.017,3.91%,0.218,1.49%,2.53%,,2-way NVLink,PCIe 4.0 x16,,"PCIe card (half height, single-slot)",,,80,3rd Gen (Ampere)
GeForce RTX 4070 Ti,TSMC 4N,1/5/2023,"7,680","2,310","2,610",GDDR6X,192,12,"21,000",504,"35,500","35,500",554.00,285, $ 744.95 ,,4.69%,38.99%,2.16%,47.65,47.65,0.74,28.45%,22.85%,1.20%,0.016,3.62%,0.677,4.64%,13.49%,,No,PCIe 4.0 x16,48.0,,,,240,4th Gen (Ada)
GeForce RTX 3080 Ti,Samsung 8LPP,6/3/2021,"10,240","1,365","1,665",GDDR6X,384,12,"19,000",912,"28,060","28,570",438.00,350, $ 559.99 ,,3.71%,31.37%,1.71%,50.11,51.02,0.78,29.92%,24.47%,1.26%,0.021,4.81%,1.629,11.17%,16.23%,,No,PCIe 4.0 x16,6.0,,,,320,3rd Gen (Ampere)
GeForce RTX 3080 (12 GB),Samsung 8LPP,1/27/2022,"8,704","1,260","1,710",GDDR6X,384,12,"19,000",912,"22,600","22,600",353.00,350, $ 559.99 ,,2.99%,24.82%,1.38%,40.36,40.36,0.63,24.09%,19.35%,1.02%,0.021,4.81%,1.629,11.17%,13.67%,,No,PCIe 4.0 x16,6.0,,,,272,3rd Gen (Ampere)
GeForce RTX 4070,TSMC 4N,4/13/2023,"5,888","1,920","2,475",GDDR6X,192,12,"21,000",504,"22,600","22,600",353.00,200, $ 524.24 ,,2.99%,24.82%,1.38%,43.11,43.11,0.67,25.74%,20.67%,1.09%,0.023,5.14%,0.961,6.59%,13.27%,,No,PCIe 4.0 x16,36.0,,,,184,4th Gen (Ada)
GeForce RTX 2060 (12 GB),TSMC 12FFN,12/7/2021,"1,920","1,470","1,650",GDDR6,192,12,"14,000",336,"12,800","6,400",199.92,185, $ 204.99 ,,1.69%,7.03%,0.78%,62.44,31.22,0.98,37.28%,14.97%,1.57%,0.059,13.15%,1.639,11.24%,13.59%,,No,PCIe 3.0 x16,3.0,,,,240,2nd Gen (Turing)
GeForce RTX 3060 (12 GB),Samsung 8LPP,9/1/2021,"3,584","1,320","1,777",GDDR6,192,12,"15,000",360,"9,460","9,460",148.00,170, $ 242.50 ,,1.25%,10.39%,0.58%,39.01,39.01,0.61,23.29%,18.71%,0.98%,0.049,11.12%,1.485,10.18%,14.68%,,No,PCIe 4.0 x16,3.0,,,,112,3rd Gen (Ampere)
RTX A2000 (12 GB),Ampere,8/10/2021,"3,328",562,"1,200",GDDR6,192,12,"12,000",288,"7,987","7,987",124.80,70, $ 699.00 ,,1.06%,8.77%,0.49%,11.43,11.43,0.18,6.82%,5.48%,0.29%,0.017,3.86%,0.412,2.83%,4.41%,,2-way NVLink,PCIe 4.0 x16,,4x mini DisplayPort,,,104,3rd Gen (Ampere)
Tesla P100 (12 GB),Pascal,6/20/2016,"3,584","1,126","1,303",HBM2,"3,072",12,"1,430",549,0,"8,071","4,036.00",250, $ 140.00 ,,0.00%,8.86%,15.77%,0.0,57.65,28.83,0.00%,27.65%,46.49%,0.086,19.26%,3.921,26.90%,25.36%,,2-way NVLink,PCIe 3.0 x16,,PCIe card,,,0,No Tensor Cores
Tesla M40 (12 GB),Maxwell,11/10/2015,"3,072",948,"1,114",GDDR5,384,12,"6,000",288,0,"5,825",182.00,250, $ 47.94 ,,0.00%,6.40%,0.71%,0.0,121.51,3.8,0.00%,58.27%,6.12%,0.25,56.24%,6.008,41.21%,53.50%,,No,PCIe 3.0 x16,,"Internal PCIe GPU (full-height, dual-slot)",,,0,No Tensor Cores
Tesla K40,Kepler,10/8/2013,"2,880",745,875,GDDR5,384,12,"6,000",288,0,"4,291","1,430.00",235, $ 31.90 ,,0.00%,4.71%,5.59%,0.0,134.51,44.83,0.00%,64.51%,72.30%,0.376,84.51%,9.028,61.93%,68.87%,,No,PCIe 3.0 x16,,"Internal PCIe GPU (full-height, dual-slot)",,,0,No Tensor Cores
Tesla H100,Hopper,3/22/2022,"14,592","1,065","1,688",HBM2e,"5,120",80,"1,000","2,039","756,449","51,200","25,600.00",350," $ 40,745.00 ",,100.00%,56.23%,100.00%,18.57,1.26,0.63,11.08%,0.60%,1.01%,0.002,0.44%,0.05,0.34%,0.50%,,2-way NVLink,PCIe 5.0 x16,,PCIe card (dual-slot),,,640,4th Gen (Hopper),No,
GeForce RTX 4080,TSMC 4N,11/16/2022,"9,728","2,210","2,505",GDDR6X,256,16,"22,400",717,"43,000","43,000",672.00,320," $ 1,020.99 ",,5.68%,47.22%,2.63%,42.12,42.12,0.66,25.14%,20.20%,1.06%,0.016,3.52%,0.702,4.82%,12.18%,,No,PCIe 4.0 x16,64.0,,,,304,4th Gen (Ada),No,
RTX 4500 Ada Generation,Ada Lovelace,8/9/2023,"7,680","2,070","2,580",GDDR6,192,24,"18,000",432,"39,630","39,630",619.00,210," $ 4,624.08 ",,5.24%,43.52%,2.42%,8.57,8.57,0.13,5.12%,4.11%,0.22%,0.005,1.17%,0.093,0.64%,2.51%,,No,PCIe 4.0 x16,,4x DisplayPort,FHFL,Double,240,4th Gen (Ada),No,
Tesla A100 (80 GB),Ampere,5/14/2020,"6,912",765,"1,410",HBM2,"5,120",80,"1,215","1,555","312,000","19,500","9,700.00",250," $ 15,800.00 ",,41.25%,21.41%,37.89%,19.75,1.23,0.61,11.79%,0.59%,0.99%,0.005,1.14%,0.098,0.68%,0.75%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,432,3rd Gen (Ampere),Yes,6/2023
Tesla A16,Ampere,4/12/2021,"5,120",885,"1,695",GDDR6,512,64,"7,242",800,"73,728","18,432","1,084.80",250," $ 2,799.00 ",,9.75%,20.24%,4.24%,26.34,6.59,0.39,15.73%,3.16%,0.63%,0.023,5.14%,0.286,1.96%,3.35%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,320,3rd Gen (Ampere),No,
RTX A6000,Ampere,10/5/2020,"10,752","1,410","1,800",GDDR6,384,48,"16,000",768,"38,710","38,710","1,209.67",300," $ 3,599.00 ",,5.12%,42.51%,4.73%,10.76,10.76,0.34,6.42%,5.16%,0.54%,0.013,3.00%,0.213,1.46%,3.69%,,2-way NVLink,PCIe 4.0 x16,,4x DisplayPort,,,336,3rd Gen (Ampere),Yes,12/2023
GeForce RTX 3090 Ti,Samsung 8LPP,3/29/2022,"10,752","1,560","1,860",GDDR6X,384,24,"21,000","1,008","33,500","33,500",524.00,450," $ 1,199.00 ",,4.43%,36.79%,2.05%,27.94,27.94,0.44,16.68%,13.40%,0.70%,0.02,4.50%,0.841,5.77%,9.27%,,2-way NVLink,PCIe 4.0 x16,6.0,,,,336,3rd Gen (Ampere),Yes,9/2023
Tesla A40,Ampere,10/5/2020,"10,752","1,305","1,740",GDDR6,384,48,"7,248",696,"149,680","37,420","1,168.00",300," $ 5,183.71 ",,19.79%,41.09%,4.56%,28.88,7.22,0.23,17.24%,3.46%,0.36%,0.009,2.08%,0.134,0.92%,2.48%,,2-way NVLink,PCIe 4.0 x16,,PCIe card (dual-slot),,,336,3rd Gen (Ampere),Yes,6/2023
Tesla L4,Ada Lovelace,3/21/2023,"7,424",795,"2,040",GDDR6,192,24,"1,563",300,"121,000","30,300",490.00,72," $ 3,736.67 ",,16.00%,33.27%,1.91%,32.38,8.11,0.13,19.33%,3.89%,0.21%,0.006,1.44%,0.08,0.55%,2.44%,,No,PCIe 4.0 x16,,HHHL single slot PCIe card,,,232,4th Gen (Ada),No,
GeForce RTX 3090,Samsung 8LPP,9/24/2020,"10,496","1,395","1,695",GDDR6X,384,24,"19,500",936,"29,380","29,280",459.00,350, $ 829.00 ,,3.88%,32.15%,1.79%,35.44,35.32,0.55,21.16%,16.94%,0.89%,0.029,6.50%,1.129,7.74%,12.03%,,2-way NVLink,PCIe 4.0 x16,6.0,,,,328,3rd Gen (Ampere),Yes,9/2023
